,parent,child,tMRCA,env region,number of AA in region,number of subsitutions,substitution/AA,substitution/AA/year,number of deletions,deletion/AA,deletion/AA/year,number of insertions,insertion/AA,insertion/AA/year,number of insertions - deletions,(insertions-deletions)/AA,(insertions-deletions)/AA/year
0,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,signal peptide,30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - C1,99,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - V1,29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
3,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - V2,41,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
4,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - C2,97,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
5,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - V3,38,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - C3,51,1,0.0196078431372549,0.00057802733144434,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
7,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - V4,36,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
8,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - C4,40,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
9,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - V5,11,2,0.18181818181818182,0.005359889800665699,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
10,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp120 - C5,40,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
11,N764,B.FR.1983.BH102_BH10.M15654.BH10,33.922,gp41,345,1,0.002898550724637681,8.544751856133723e-05,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
12,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,signal peptide,30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
13,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - C1,99,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
14,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - V1,34,3,0.08823529411764706,0.0026066017576489423,0,0.0,0.0,5,0.14705882352941177,0.004344336262748237,5,0.14705882352941177,0.004344336262748237
15,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - V2,41,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
16,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - C2,97,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
17,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - V3,38,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
18,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - C3,51,1,0.0196078431372549,0.0005792448350330982,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
19,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - V4,37,0,0.0,0.0,0,0.0,0.0,1,0.02702702702702703,0.0007984185563969734,1,0.02702702702702703,0.0007984185563969734
20,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - C4,40,1,0.025,0.0007385371646672004,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
21,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - V5,11,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
22,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp120 - C5,40,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
23,N766,B.FR.1983.IIIB_LAI.A04321.LAI,33.8507,gp41,345,2,0.005797101449275362,0.00017125499470543775,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
24,N777,N778,0.92693,signal peptide,33,1,0.030303030303030304,0.032691821715804106,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
25,N777,N778,0.92693,gp120 - C1,99,2,0.020202020202020204,0.021794547810536073,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
26,N777,N778,0.92693,gp120 - V1,30,4,0.13333333333333333,0.14384401554953807,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
27,N777,N778,0.92693,gp120 - V2,45,2,0.044444444444444446,0.04794800518317936,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
28,N777,N778,0.92693,gp120 - C2,97,1,0.010309278350515464,0.01112195996517047,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
29,N777,N778,0.92693,gp120 - V3,39,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
30,N777,N778,0.92693,gp120 - C3,51,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
31,N777,N778,0.92693,gp120 - V4,37,2,0.05405405405405406,0.058315141439001926,2,0.05405405405405406,0.058315141439001926,0,0.0,0.0,-2,-0.05405405405405406,-0.058315141439001926
32,N777,N778,0.92693,gp120 - C4,40,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
33,N777,N778,0.92693,gp120 - V5,12,1,0.08333333333333333,0.0899025097184613,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
34,N777,N778,0.92693,gp120 - C5,40,3,0.075,0.08091225874661516,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
35,N777,N778,0.92693,gp41,345,1,0.002898550724637681,0.003127043816294306,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
36,N778,N779,2.06982,signal peptide,33,1,0.030303030303030304,0.014640418153767142,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
37,N778,N779,2.06982,gp120 - C1,99,2,0.020202020202020204,0.009760278769178095,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
38,N778,N779,2.06982,gp120 - V1,37,1,0.02702702702702703,0.013057670245251774,0,0.0,0.0,7,0.1891891891891892,0.09140369171676242,7,0.1891891891891892,0.09140369171676242
39,N778,N779,2.06982,gp120 - V2,45,1,0.022222222222222223,0.010736306646095903,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
40,N778,N779,2.06982,gp120 - C2,97,1,0.010309278350515464,0.00498076081519913,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
41,N778,N779,2.06982,gp120 - V3,39,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
42,N778,N779,2.06982,gp120 - C3,51,1,0.0196078431372549,0.009473211746555209,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
43,N778,N779,2.06982,gp120 - V4,38,0,0.0,0.0,0,0.0,0.0,1,0.02631578947368421,0.012714047344060937,1,0.02631578947368421,0.012714047344060937
44,N778,N779,2.06982,gp120 - C4,40,1,0.025,0.012078344976857891,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
45,N778,N779,2.06982,gp120 - V5,12,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
46,N778,N779,2.06982,gp120 - C5,40,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
47,N778,N779,2.06982,gp41,345,9,0.02608695652173913,0.01260349041063432,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
48,N779,N780,12.2568,signal peptide,33,1,0.030303030303030304,0.0024723443560334102,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
49,N779,N780,12.2568,gp120 - C1,99,2,0.020202020202020204,0.0016482295706889403,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
50,N779,N780,12.2568,gp120 - V1,37,6,0.16216216216216217,0.013230383310665277,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
51,N779,N780,12.2568,gp120 - V2,45,1,0.022222222222222223,0.0018130525277578343,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
52,N779,N780,12.2568,gp120 - C2,97,2,0.020618556701030927,0.0016822136855485059,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
53,N779,N780,12.2568,gp120 - V3,39,3,0.07692307692307693,0.006275951057623273,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
54,N779,N780,12.2568,gp120 - C3,51,4,0.0784313725490196,0.006399008921498238,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
55,N779,N780,12.2568,gp120 - V4,40,2,0.05,0.004079368187455127,0,0.0,0.0,2,0.05,0.004079368187455127,2,0.05,0.004079368187455127
56,N779,N780,12.2568,gp120 - C4,40,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
57,N779,N780,12.2568,gp120 - V5,12,1,0.08333333333333333,0.006798946979091878,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
58,N779,N780,12.2568,gp120 - C5,40,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
59,N779,N780,12.2568,gp41,345,8,0.02318840579710145,0.001891880898529914,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
60,N780,B.GB.2005.P1_DAY_1.FJ653428.P1,40.4246,signal peptide,33,4,0.12121212121212122,0.0029984742263899017,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
61,N780,B.GB.2005.P1_DAY_1.FJ653428.P1,40.4246,gp120 - C1,99,4,0.04040404040404041,0.000999491408796634,1,0.010101010101010102,0.0002498728521991585,0,0.0,0.0,-1,-0.010101010101010102,-0.0002498728521991585
62,N780,B.GB.2005.P1_DAY_1.FJ653428.P1,40.4246,gp120 - V1,39,7,0.1794871794871795,0.004440048373692739,0,0.0,0.0,2,0.05128205128205128,0.0012685852496264968,2,0.05128205128205128,0.0012685852496264968
63,N780,B.GB.2005.P1_DAY_1.FJ653428.P1,40.4246,gp120 - V2,45,11,0.24444444444444444,0.006046923023219635,1,0.022222222222222223,0.0005497202748381486,0,0.0,0.0,-1,-0.022222222222222223,-0.0005497202748381486
